Ground-truth,frame,xnano,ynano,znano,intensity 
    1,  9039, 43.325, 839.830, 340.704, 2473.663 
    2,  9040, 43.325, 839.830, 340.704, 273.371 
    3, 15342, 39.005, 850.199, 331.856, 3893.158 
    4, 15343, 39.005, 850.199, 331.856, 1039.886 
    5, 12283, 56.375, 868.420, 333.775, 526.689 
    6, 13262, 57.984, 875.285, 339.456, 206.321 
    7, 13263, 57.984, 875.285, 339.456, 1801.809 
    8, 13265, 57.984, 875.285, 339.456, 1006.876 
    9,  4084, 69.829, 859.504, 340.349, 978.497 
   10, 19336, 67.588, 859.709, 346.982, 1099.763 
   11, 19337, 67.588, 859.709, 346.982, 686.960 
   12,  6593, 11.845, 821.569, 339.934, 2789.224 
   13,  6594, 11.845, 821.569, 339.934, 3965.950 
   14,  6595, 11.845, 821.569, 339.934, 594.169 
   15, 18446, 69.815, 873.417, 347.961, 1763.564 
   16, 18447, 69.815, 873.417, 347.961, 3754.874 
   17, 15306, 85.914, 889.720, 335.330, 1613.111 
   18, 16865, 92.772, 878.472, 330.943, 377.211 
   19,  3150, 57.504, 856.425, 348.587, 696.813 
   20,  3154, 57.504, 856.425, 348.587, 3555.470 
   21,  3155, 57.504, 856.425, 348.587, 4117.334 
   22,  3156, 57.504, 856.425, 348.587, 2536.470 
   23,  8118, 74.616, 875.686, 329.502, 3700.030 
   24,  8119, 74.616, 875.686, 329.502, 4586.037 
   25,  8120, 74.616, 875.686, 329.502, 3547.776 
   26, 15235, 13.820, 840.837, 349.642, 1596.161 
   27, 15236, 13.820, 840.837, 349.642, 538.277 
   28,  1207, 96.348, 891.311, 348.047, 146.699 
   29, 15237, 97.211, 881.307, 334.234, 1677.345 
   30, 16434, 66.073, 874.277, 349.480, 2594.349 
   31,  3728, 84.179, 879.872, 330.008, 838.901 
   32,  3729, 84.179, 879.872, 330.008, 2945.342 
   33, 15518, 6.563, 833.651, 339.049, 1347.374 
   34, 15519, 6.563, 833.651, 339.049, 4031.033 
   35, 15520, 6.563, 833.651, 339.049, 4031.033 
   36, 15521, 6.563, 833.651, 339.049, 4031.033 
   37, 15522, 6.563, 833.651, 339.049, 4031.033 
   38, 15523, 6.563, 833.651, 339.049, 682.654 
   39, 13663, 67.221, 877.136, 337.819, 3894.412 
   40, 13664, 67.221, 877.136, 337.819, 3260.984 
   41, 18917, 2.088, 812.615, 341.677, 3310.035 
   42, 18918, 2.088, 812.615, 341.677, 1978.924 
   43, 12871, 70.512, 862.262, 338.145, 2547.167 
   44, 12872, 70.512, 862.262, 338.145, 1708.119 
   45, 15764, 22.842, 838.766, 332.394, 412.491 
   46, 15765, 22.842, 838.766, 332.394, 4319.641 
   47, 15766, 22.842, 838.766, 332.394, 4319.641 
   48, 15767, 22.842, 838.766, 332.394, 940.676 
   49, 17972, 62.931, 869.638, 348.258, 2388.884 
   50, 17973, 62.931, 869.638, 348.258, 781.047 
   51, 12573, 71.876, 862.454, 338.663, 1176.034 
   52, 12574, 71.876, 862.454, 338.663, 4443.543 
   53, 12575, 71.876, 862.454, 338.663, 3079.914 
   54, 12582, 71.876, 862.454, 338.663, 3424.858 
   55, 12583, 71.876, 862.454, 338.663, 971.804 
   56,  9917, 4.280, 829.626, 336.556, 901.866 
